,name,party,label,link
0,Abramowicz Adam,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=001&type=A
1,Achinger Elżbieta,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=467&type=A
2,Adamczyk Andrzej,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=003&type=A
3,Ajchler Romuald,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=004&type=A
4,Aleksandrzak Leszek,SLD,zastępca przewodniczącego klubu,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=005&type=A
5,Andzel Waldemar,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=006&type=A
6,Arciszewska-Mielewczyk Dorota,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=007&type=A
7,Ardanowski Jan Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=008&type=A
8,Arent Iwona Ewa,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=009&type=A
9,Arkit Tadeusz,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=010&type=A
10,Arłukowicz Bartosz,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=011&type=A
11,Arndt Paweł,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=012&type=A
12,Ast Marek,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=013&type=A
13,Augustyn Urszula,PO,wiceprzewodnicząca klubu,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=014&type=A
14,Aziewicz Tadeusz,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=015&type=A
15,Babalski Zbigniew,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=016&type=A
16,Babiarz Piotr Łukasz,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=474&type=A
17,Babinetz Piotr,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=017&type=A
18,Balt Marek,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=018&type=A
19,Banaszak Maciej,SLD,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=019&type=A
20,Bańkowska Anna,SLD,zastępca przewodniczącego klubu,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=020&type=A
21,Bartuś Barbara,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=022&type=A
22,Bauć Piotr Paweł,RP,wiceprzewodniczący koła,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=023&type=A
23,Bąk Dariusz,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=024&type=A
24,Bernacki Włodzimierz,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=025&type=A
25,Bętkowski Andrzej,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=026&type=A
26,Biernacki Marek,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=028&type=A
27,Biernat Andrzej,PO,wiceprzewodniczący klubu,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=029&type=A
28,Blanik Leszek,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=030&type=A
29,Błaszczak Mariusz,PiS,przewodniczący klubu,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=031&type=A
30,Błądek Antoni,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=475&type=A
31,Bobowska Joanna,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=032&type=A
32,Bodio Bartłomiej,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=033&type=A
33,Bogucki Jacek,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=034&type=A
34,Borawski Edmund,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=035&type=A
35,Borkowski Jerzy,RP,przewodniczący koła,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=036&type=A
36,Borkowski Krzysztof,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=037&type=A
37,Borowczak Jerzy,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=038&type=A
38,Bramora Artur,PSL,sekretarz klubu,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=040&type=A
39,Brejza Krzysztof,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=041&type=A
40,Brudziński Joachim,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=042&type=A
