,name,party,label,link
0,Abramowicz Adam,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=001&type=A
1,Adamczyk Andrzej,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=002&type=A
2,Ajchler Zbigniew,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=003&type=A
3,Andruszkiewicz Adam,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=004&type=A
4,Andzel Waldemar,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=005&type=A
5,Apel Piotr,Kukiz15,członek zarządu klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=006&type=A
6,Arciszewska-Mielewczyk Dorota,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=007&type=A
7,Ardanowski Jan Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=008&type=A
8,Arent Iwona Ewa,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=009&type=A
9,Arłukowicz Bartosz,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=010&type=A
10,Arndt Paweł,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=011&type=A
11,Ast Marek,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=012&type=A
12,Augustyn Urszula,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=013&type=A
13,Augustynowska Joanna,N,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=014&type=A
14,Aziewicz Tadeusz,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=015&type=A
15,Babalski Zbigniew,PiS,skarbnik klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=016&type=A
16,Babiarz Piotr Łukasz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=017&type=A
17,Babinetz Piotr,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=018&type=A
18,Bakun Wojciech,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=019&type=A
19,Bańkowski Paweł,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=020&type=A
20,Bartosik Ryszard,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=021&type=A
21,Bartuś Barbara,PiS,zastępca sekretarza klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=022&type=A
22,Baszko Mieczysław Kazimierz,PSL,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=023&type=A
23,Bąk Dariusz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=024&type=A
24,Bejda Paweł,PSL,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=025&type=A
25,Bernacki Włodzimierz,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=026&type=A
26,Białkowska Anna,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=027&type=A
27,Bielecki Jerzy,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=028&type=A
28,Biernacki Marek,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=029&type=A
29,Biernat Zbigniew,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=030&type=A
30,Błaszczak Mariusz,PiS,wiceprzewodniczący klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=031&type=A
31,Błeńska Magdalena,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=032&type=A
32,Bogucki Jacek,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=033&type=A
33,Borowczak Jerzy,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=034&type=A
34,Borowiak Joanna,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=035&type=A
35,Borowiec Agata,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=036&type=A
36,Borowska Elżbieta,Kukiz15,sekretarz klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=037&type=A
37,Borys-Szopa Bożena,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=038&type=A
38,Brejza Krzysztof,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=039&type=A
39,Brudziński Joachim,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=040&type=A
40,Brynkus Józef,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=041&type=A
41,Bubula Barbara,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=042&type=A
42,Buczak Wojciech,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=043&type=A
43,Buda Waldemar,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=044&type=A
44,Budka Borys,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=045&type=A
45,Bukiewicz Bożenna,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=046&type=A
46,Burzyńska Lidia,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=047&type=A
47,Chmiel Małgorzata,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=048&type=A
48,Chmielowiec Zbigniew,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=049&type=A
49,Chrobak Barbara,Kukiz15,rzecznik dyscyplinarny klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=050&type=A
50,Chruszcz Sylwester,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=051&type=A
51,Chybicka Alicja,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=052&type=A
52,Cicholska Anna,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=461&type=A
53,Cichoń Janusz,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=053&type=A
54,Cieślak Michał,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=054&type=A
55,Cieśliński Piotr,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=055&type=A
56,Cimoszewicz Tomasz,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=056&type=A
57,Cymański Tadeusz,PiS,wiceprzewodniczący klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=057&type=A
58,Cyrański Adam,N,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=058&type=A
59,Czabański Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=059&type=A
60,Czarnecki Przemysław,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=060&type=A
61,Czarnecki Witold,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=061&type=A
62,Czartoryski Arkadiusz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=062&type=A
63,Czech Anna,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=063&type=A
64,Czernow Zofia,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=064&type=A
65,Czerwińska Anita,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=065&type=A
66,Czerwiński Andrzej,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=066&type=A
67,Długi Grzegorz,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=067&type=A
68,Dobrzyński Leszek,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=068&type=A
69,Dolata Zbigniew,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=069&type=A
70,Dolniak Barbara,N,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=070&type=A
71,Drozd Ewa,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=071&type=A
72,Duda Antoni,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=072&type=A
73,Duda Elżbieta,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=073&type=A
74,Duda Jan,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=074&type=A
75,Dunin Artur,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=075&type=A
76,Duszek Marcin,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=076&type=A
77,Dworczyk Michał,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=077&type=A
78,Dziedziczak Jan,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=078&type=A
79,Dzikowski Waldy,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=079&type=A
80,Dziuba Tadeusz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=080&type=A
81,Dziuk Barbara,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=081&type=A
82,Fabisiak Joanna,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=082&type=A
83,Falfus Jacek,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=083&type=A
84,Filipiak Ewa,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=084&type=A
85,Frydrych Joanna,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=085&type=A
86,Furgo Grzegorz,N,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=086&type=A
87,Gadowski Krzysztof,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=087&type=A
88,Gajewska Kinga,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=088&type=A
89,Galemba Leszek,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=089&type=A
90,Galla Ryszard,niez.,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=090&type=A
91,Gapińska Elżbieta,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=091&type=A
92,Gasiuk-Pihowicz Kamila,N,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=092&type=A
93,Gawlik Zdzisław,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=093&type=A
94,Gawłowski Stanisław,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=094&type=A
95,Gawron Andrzej,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=095&type=A
96,Gądek Lidia,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=096&type=A
